lengua y traducctor,id_título,título,anio primer edición,editorial1b 1,editorial1b 2,editorial1b 3,editorial1b 4,editorial1b 5,editorial1b 6,editorial2b,ciudad_ed,país_ed,lengua o idioma,género,género2
Traducción al francés de: François-Michel Durazzo.,218341,Ignorance,2007,Éditions du Noroît,,,,,,Dialogues,Montreal,Canadá,Francés,Poesía,
Traducción al francés de: Mara Hernández.,218342,La mort à Veracruz,1993,Seuil,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: François-Michel Durazzo.,218343,Héloïse,2012,Éditions du Noroît,,,,,,Dialogues,Montreal,Canadá,Francés,Poesía,
Traducción al francés de: Claude Couffon.,218345,Zooliloques,2008,Indigo &amp; Côté-femmes,,,,,,,París,Francia,Francés,Poesía,
Traducción al francés de: Marina Almeida. Traducción al francés de: Béatrice Bernard.,218346,La Señora Rodríguez et autres mondes,1993,Indigo &amp; Côté-femmes,,,,,,,París,Francia,Francés,Narrativa,Cuento
,218349,Understanding Octavio Paz,1999,University of South Carolina Press,,,,,,,Carolina del Sur,EUA,Inglés,Crítica y estudios sobre géneros varios,
Traducción al francés de: Claire Fréchet.,218351,Anthologie poétique = Antología poética,2014,Indigo &amp; Côté-femmes,,,,,,,París,Francia,Francés,Poesía,
,218352,Enclosed Garden,1988,,,,,,,,Pennsylvania,EUA,Inglés,Narrativa,Cuento
Traducción al francés de: François-Michel Durazzo.,218375,Arbres : cahier d'aphorismes,2009,Éditions du Noroît,,,,,,Résonance,Montreal,Canadá,Francés,Poesía,
Traducción al francés de: Denys Bélanger.,218376,Poésie réunie = Poesía reunida,2004,Écrits des Forges,,,,,,Poésie,Quebec,Canadá,Francés,Poesía,
Traducción al francés de: Denys Bélanger.,218377,"Dis-moi où, n’en quel pays",2012,Écrits des Forges,,,,,,Poésie,Quebec,Canadá,Francés,Poesía,
Traducción al francés de: François-Michel Durazzo.,218378,Lettre à ma mère,2002,Myriam Solal Éditions,,,,,,,París,Francia,Francés,Poesía,
Posfacio de: Julio Cortázar. Traducción al francés de: Jacques Ancet.,218379,Vers le sud et autres poèmes,2015,Gallimard,,,,,,Poésie/Gallimard,París,Francia,Francés,Poesía,
Traducción al francés de: Jean Portante.,218380,Traductions / Les autres,2014,Caractères,,,,,,Cahiers latins,París,Francia,Francés,Poesía,
Traducción y presentación de: Jacques Ancet.,218381,Com/positions,2013,Caractères,,,,,,,París,Francia,Francés,Poesía,
Traducción y presentación de: Jean Portante.,218382,L'Amant mondial : poèmes 1962-1965,2012,Caractères,,,,,,Cahiers latins,París,Francia,Francés,Poesía,
Presentación y traducción de: Jacques Ancet.,218383,Lettre ouverte suivie de Sous la pluie étrangère,2011,Caractères,,,,,,Cahiers latins,París,Francia,Francés,Poesía,
Traducción al francés de: Jacques Ancet. Traducción al francés de: Julio Cortázar.,218385,L'Opération d'amour,2006,Gallimard,,,,,,Du monde entier,París,Francia,Francés,Poesía,
Traducción al francés de: Monique Blaquière-Roumette .,218386,Lumière de mai : oratório,2007,Le temps des cerises,,,,,,,Montreuil,Francia,Francés,Poesía,
Traducción al francés de: François-Michel Durazzo. Traducción al francés de: Jean-Clarence Lambert.,218388,Sur la mort du major Sabines,2000,Myriam Solal Éditions,,,,,,,París,Francia,Francés,Poesía,
Presentación y traducción de: Jean-Clarence Lambert. Dibujos de: Cristina Rubalcava.,218412,Lent animal amer,2011,Caractères,,,,,,Cahiers latins,París,Francia,Francés,Poesía,
Traducción al francés de: Ana Cristina Zúñiga.,218413,Jus d'orange = Jugo de naranja,2017,Écrits des Forges,,,,,,,Trois Rivières,Canadá,Francés,,
Traducción al francés de: Émile Martel. Prefacio de: Marco Antonio Campos.,218414,Les poèmes du piéton = Los poemas del peatón,1997,Écrits des Forges,,,,,,,Quebec,Canadá,Francés,Poesía,
Traducción al inglés de: Esther Allen.,218415,Encyclopedia of a life in Russia,2013,Grove Press,,,,,,,Nueva York,EUA,Inglés,Narrativa,Novela
Traducción al inglés de: Esther Allen.,218416,Rex,2010,Grove Press,,,,,,,Nueva York,EUA,Inglés,Narrativa,Novela
Traducción al francés de: Thomas Christensen. Traducción al inglés de: Carol Christensen.,218417,Nocturnal butterflies of the Russian Empire,2002,Grove Press,,,,,,,Nueva York,EUA,Inglés,Narrativa,
,218427,Sierra Madren Aarre,1980,Tammi,,,,,,,Helsinki,Finlandia,Finés,Narrativa,Novela
Traducción al inglés de: Anthony Seidman. Ilustración de: Gustavo Abascal.,218612,Petición a la NASA para incluir en su próximo viaje al espacio a un poeta y otros poemas = Petition to NASA to include a poet on its next mission to outer space and other poems,2014,Observatorio Editorial Tijuana,,,,,,,Tijuana,México,Inglés,Poesía,
Edición de: C. M. Mayo.,218638,Mexico's traveler literary companion,2006,Whereabouts Press,,,,,,,Berkeley,EUA,Inglés,Narrativa,Cuento
,218641,"Ruido de sueños : un panorama de la nueva poesía en México, la generación 1940-1960 = Noise of dreams : a panorama of the new poetry Mexico, the 1940-1960 generation",0,Ediciones el Tucán de Virginia,,,,,,,D.F.,México,Inglés,Poesía,
Traducción de: Marianne Millon.,218670,L'Hôte,2006,Actes Sud,,,,,,Lettres latino-américaines,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Guillemette de Saint-Aubin.,218679,Circuit intérieur,2015,Christian Bourgois,,,,,,Littérature étrangère,París,Francia,Francés,Narrativa,Crónica
Traducción al francés de: Philippe Chéron.,218683,La rue de la Solitude,1998,Les solitaires intempestifs,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Remy Kachadourian.,218689,"La Rébellion indigène du Mexique. Violence, autonomie et humanisme",2001,Syllepse,,,,,,Coyoacan,París,Francia,Francés,Crítica y estudios sobre géneros varios,
Traducción al francés de: Tessa Brisac. Prefacio de: Carlos Montemayor.,218694,Le Mexique en armes: guérrilla et contre-insurrection,2009,Lux,,,,,,Mémoire des Amériques,Montreal,Canadá,Francés,Crítica y estudios sobre géneros varios,
Edición de: Lucia Cupertino.,218697,43 poeti per Ayotzinapa : voci per il Messico e i suoi desaparecidos,2016,Edizioni Arcoiris,,,,,,,Salerno,Italia,Italiano,Poesía,
Traducción al francés de: Frédéric Magne. Portada de: Orlando Pelayo.,218722,Poèmes d'amour et de discrétion,1987,La Delirante,,,,,,,París,Francia,Francés,Poesía,
Traducción al francés de: Jean-Luc Lacarrière. Prefacio de: Margo Glantz.,218723,Le Songe et autres poèmes,2014,Éditions de la Différence,,,,,,,París,Francia,Francés,Poesía,
Traducción al francés de: Émile Martel.,218724,Écrits profanes : un choix de textes,2001,Écrits des Forges,,,,,,Le temps premier,Bordeaux,Francia,Francés,Poesía,
Traducción al francés de: Jean-Claude Masson.,218727,Lecture et contemplation,1982,La Delirante,,,,,,,París,Francia,Francés,"Poesía, Crítica y estudios sobre géneros varios",
Prefacio de: Michael Löwy.,218728,"La pensée coloniale : découverte, conquête et guerre des dieux au Mexique",2007,Syllepse,,,,,,Coyoacan,París,Francia,Francés,Crítica y estudios sobre géneros varios,
Traducción al francés de: Émile Martel. Traducción al francés de: Nicole Martel.,218729,Le fil ténu d'un sang = El hijo esbelto de una sangre,2006,Universidad Nacional Autónoma de México,Écrits des Forges,,,,,Poésie,D.F.,México,Francés,Poesía,
Traducción al francés de: René Montes.,218734,Ville contre le ciel = Ciudad contra el cielo,2007,Universidad Nacional Autónoma de México,Écrits des Forges,,,,,Poésie,D.F.,México,Francés,Poesía,
,218747,En pedazos = In pieces,2016,Universidad Autónoma de Nuevo León,Libros de la Mancuspia,,,,,Aforismos,Monterrey,México,Inglés,Poesía,
,218763,"The fiction of Juan Rulfo : irony, revolution and postcolonialism",2012,Tamesis Books,,,,,,Monografías,Woodbridge,Reino Unido,Inglés,Narrativa,
Traducción al alemán de: Mariana Frenk-Westheim.,218772,Pedro Páramo. Der Llano in Flammen,1983,Volk und Welt,,,,,,,Berlín,Alemania,Alemán,Narrativa,
"Traducción, introducción y comentario de: Luis Harss.",218788,Sor Juana's dream,2008,Lumen Books,,,,,,,Santa Fe,EUA,Inglés,Poesía,
Introducción de: Ilán Stavans. Traducción al inglés de: Dorothy Margaret Kress.,218792,"Poems, protest, and a dream: selected writings",1997,Penguin Books,,,,,,,Nueva York,EUA,Inglés,Poesía,
Traducción al inglés de: Leland H. Chambers.,218799,The fear of losing Eurydice,1994,Dalkey Archive Press,,,,,,,Illinois,EUA,Inglés,Narrativa,Novela
Traducción al inglés de: Leland H. Chambers.,218802,Celina or the cats,1995,Latin American Literary Review Press,,,,,,Discoveries,Pittsburgh,EUA,Inglés,Narrativa,Cuento
Traducción al inglés de: Leland H. Chambers.,218807,Duplications : and other stories,1994,Latin American Literary Review Press,,,,,,Discoveries,Pittsburgh,EUA,Inglés,Narrativa,Cuento
Prólogo de: Ernesto Franco. Traducción al italiano de: Maria Nicola.,218837,La pianura in fiamme,2012,Einaudi,,,,,,Collana Letture Einaudi,Torino,Italia,Italiano,Narrativa,Cuento
Epílogo de: Jorge Ayala Blanco. Traducción al alemán de: Mariana Frenk-Westheim.,218838,Der goldene Hahn mit einem weiterem Filmtext,1984,Hanser,,,,,,,Munich,Alemania,Alemán,Títulos de géneros varios,
Traducción al irlandés de: Tomás Mac Síomóin.,218878,Pedro Páramo,2008,Coiscéim,,,,,,,Baile Áthe Cliath,Irlanda,Irlandés,Narrativa,Novela
Traducción al inglés de: Leland H. Chambers.,218898,Creature of the day,2002,McPherson,,,,,,,Kingston,EUA,Inglés,Narrativa,Novela
Traducción al español de: Elizabeth Flores.,218925,Cerdo rostizado y otros ensayos,2015,Ficticia,,,,,,El Gabinete de Curiosidades de Meister Floh,X,México,Inglés,Ensayo,
,218937,Juan Rulfo: 100 Photographs,2011,Editorial RM,,,,,,,D.F.,México,Inglés,Títulos de géneros varios,
,218942,Juan Rulfo's Mexico,2002,Smithsonian Books,,,,,,,Washington,EUA,Inglés,Títulos de géneros varios,
Traducción al francés de: Cécile Serrurier.,218943,Lettres à Clara,2012,Hermann,,,,,,Littérature,París,Francia,Francés,Títulos de géneros varios,
Traducción al portugués de: Sofia Castro Rodrigues. Traducción al portugués de: Virgílio Tenreiro Viseu.,218950,O galo de ouro e outros textos dispersos,2005,Cavalo de Ferro,,,,,,,Lisboa,Portugal,Portugués,Narrativa,Cuento
Traducción al inglés de: Leland H. Chambers.,219009,She has reddish hair and her name is Sabina : a novel,1993,University of Georgia Press,,,,,,,Athens,EUA,Inglés,Narrativa,Novela
Traducción al francés de: Michèle Louagie. Revisión de : Catherine Hervouët des Forges.,219018,Le Mexique de Juan Rulfo,2002,Éditions Place des Victoires,,,,,,,París,Francia,Francés,Títulos de géneros varios,
,219020,Juan Rulfo's Mexico,2002,Smithsonian Books,,,,,,,Washington,EUA,Inglés,Títulos de géneros varios,
,219026,A planície em chamas,2013,Cavalo de Ferro,,,,,,,Lisboa,Portugal,Portugués,Narrativa,Cuento
Traducción al Tsotsil de: Toribio Arias Vázquez. Ilustraciones de: Alejandro Olivares Olmos. Diseño de: Marcela Gloria Gómez.,219036,El sueño de Pakalito,2017,Programa de Apoyo a las Culturas Municipales y Comunitarias [PACMYC],,,,,,,Tuxtla Gutiérrez,México,tsotsil,Narrativa,Cuento
"Edición bilingüe ordenada, presentada y anotada por: Stephen Tapscott. Algunas traducciones de: Elinor Randall. Algunas traducciones de: Lysander Kemp. Algunas traducciones de: Victor Tulli. Algunas traducciones de: Sue Standing. Algunas traducciones de: Samuel Beckett. Algunas traducciones de: Elizabeth Gordon. Algunas traducciones de: Andrew Rosing. Algunas traducciones de: Karl Kirchwey. Algunas traducciones de: Julián Manríquez. Algunas traducciones de: Doris Dana. Algunas traducciones de: James Wright. Algunas traducciones de: Rachel Benson. Algunas traducciones de: Donald Justice. Algunas traducciones de: Sonja Karsen. Algunas traducciones de: Dana Stangel. Algunas traducciones de: Xavier Leroux. Algunas traducciones de: Michael Surman. Algunas traducciones de: W. S. Merwin. Algunas traducciones de: John Felstiner. Algunas traducciones de: Ben Belitt. Algunas traducciones de: Nathaniel Tarn. Algunas traducciones de: David Young. Algunas traducciones de: Jack Schmitt. Algunas traducciones de: Margaret Sayers Peden . Algunas traducciones de: Inés Probert. Algunas traducciones de: Willis Barnstone. Algunas traducciones de: Ann McCarthy de Zavala. Algunas traducciones de: Paul Blackburn. Algunas traducciones de: Beth Henson. Algunas traducciones de: Allen Ginsberg. Algunas traducciones de: William Carlos Williams. Algunas traducciones de: Charles Tomlinson. Algunas traducciones de: Eliot Weinberger. Algunas traducciones de: Grace Schulman. Algunas traducciones de: Christopher Maurer. Algunas traducciones de: Stephen Tapscott. Algunas traducciones de: Suzanne Jill Levine. Algunas traducciones de: Martha Collins. Algunas traducciones de: Maria Negroni. Algunas traducciones de: Sophie Cabot Black. Algunas traducciones de: Myralyn F. Allgood. Algunas traducciones de: Maureen Ahern. Algunas traducciones de: David Tipton. Algunas traducciones de: David Unger. Algunas traducciones de: Robert Márquez. Algunas traducciones de: Mónica Hernández-Cancio. Algunas traducciones de: John Frederick Nims. Algunas traducciones de: Alastair Reid. Algunas traducciones de: Kathleen Weaver. Algunas traducciones de: Carol Maier. Algunas traducciones de: Jack Schmitt.",219041,Twentieth-century latin american poetry : a bilingual anthology,1996,University of Texas Press. Austin,,,,,,,Austin,EUA,Inglés,Poesía,
Antología de: Uffe Harder.,219060,Latinamerikanske noveller,1972,Gyldendal,,,,,,,Copenhagen,Dinamarca,Danés,Narrativa,
Traducción al danés de: Ane Ipsen.,219061,Sletten brænder,1988,Samleren,,,,,,,Copenhagen,Dinamarca,Danés,Narrativa,Cuento
,219063,Ihmisen tie : valikoima latinalaisen Amerikan kirjallisuutta,1983,Love Kirjat,,,,,,,Helsinki,Finlandia,Finés,Narrativa,
,219065,Kolmas maailma : uutta proosaa espanjankielisestä Amerikasta,0,Tammi,,,,,,,Helsinki,Finlandia,Finés,Títulos de géneros varios,
Introducción de: Gabriel García Márquez. Traducción al portugués de: Sofia Castro Rodrigues. Traducción al portugués de: Virgílio Tenreiro Viseu. Traducción al portugués de: Rui Lagartinho. Traducción al portugués de: Ana Santos.,219075,Obra Reunida,2010,Cavalo de Ferro,,,,,,,Lisboa,Portugal,Portugués,Títulos de géneros varios,
Traducción y notas de: Tommaso Scarano.,219076,Dieci racconti,1980,Giardini,,,,,,Collana Atalanta,Pisa,Italia,Italiano,Narrativa,Cuento
Traducción al hebreo y epílogo de: Rami Saari. Pintura de: Remedios Varo.,219083,Pedro Páramo,2003,Carmel,,,,,,,,,Hebreo,Narrativa,Novela
Traducción al italiano de: Pino Cacucci.,219090,La miracolosa,2001,Feltrinelli,,,,,,,X,Italia,Italiano,Narrativa,Novela
Traducción al inglés de: Phillip Derbyshire.,219096,Transatlantic translations : dialogues in Latin American literature,2006,Reaktionbooks,,,,,,,Londres,Reino Unido,Inglés,Narrativa,
Traducción al inglés de: Ilan Stavans. Traducción al inglés de: Harold Augenbraum.,219119,The plain in flames,2012,University of Texas Press. Austin,,,,,,,Texas,EUA,Inglés,Narrativa,Cuento
,219131,Gente de frontera : the Mexico-U.S. border in hispanic literature,2012,San Juan: Casa de los Poetas Editores,,,,,,,San Juan,Puerto Rico,Inglés,Ensayo,
Traducción al inglés de: George D. Schade . Ilustración de: Kermit Oliver.,219144,The burning plain and other stories,1971,University of Texas Press. Austin,,,,,,,Texas,EUA,Inglés,Narrativa,Cuento
,219152,Pedro Páramo,2006,Editura Rao,,,,,,,Bucarest,Rumania,Rumano,Narrativa,Novela
,219155,Pedro Páramo,2005,Patakis,,,,,,,Atenas,Grecia,Griego,Narrativa,Novela
,219168,"Six faces of Mexico: history, people, geography, government, economy, literature &amp; art.",0,The University of Arizona Press,,,,,,,Tucson,EUA,Inglés,Crítica y estudios sobre géneros varios,
,219190,Folktales of Spain and Latin America,1967,Silver Burdett Company,,,,,,,Nueva Jersey,EUA,Inglés,Títulos de géneros varios,
Traducción al húngaro: Imrei Andrea.,219193,Lángoló puszta,2014,Bookart Kiadó,,,,,,,Bucarest,Rumania,Húngaro,Narrativa,Cuento
Prólogo y notas de: Vicente Preciado Zacarías. Traducción al inglés de: Ramón Elizondo Mata.,219201,Una selección personal = A personal selection,2016,Puertabierta Editores,,,,,,,Colima,México,Inglés,Narrativa,Cuento
Traducción al sueco de: Arne Holström.,219225,Bron i djungeln,1933,Axel Holmströms Förlag,,,,,,,Estocolmo,Suecia,Sueco,Narrativa,Novela
traducción al polaco de: Witold Belza.,219226,Most w Dzungli,1933,,,,,,,,Varsovia,Polonia,Polaco,Narrativa,Novela
,219228,Bron i Junglen,1936,Fremad,,,,,,,Copenhagen,Dinamarca,Danés,Narrativa,Cuento
Traducciones de: Helge Krog.,219230,Broen i Jungelen,1937,Tiden Norsk Forlag,,,,,,,Oslo,Noruega,Noruego,Narrativa,Cuento
Traducción al checo de: Jirina Ascherová.,219233,Most v dzungli,1937,KRUH,,,,,,,Praga,República Checa,Checo,Narrativa,Cuento
